
#id|kirjan nimi|kirjailija|kustantaja|vuosi|lyhyt kuvaus|luettu|arvio|lisätietoja
1|Kirja 1611|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
2|Kirja 7400|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
3|Kirja 6286|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
4|Kirja 2860|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
5|Kirja 4735|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
6|Kirja 8848|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
7|Kirja 7020|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
8|Kirja 7324|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
9|Kirja 4062|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
10|Kirja 4780|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
11|Kirja 9309|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
12|Kirja 2366|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
13|Kirja 9167|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
14|Kirja 5052|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
15|Kirja 6644|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
16|Kirja 6457|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
17|Kirja 5741|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
18|Kirja 8117|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
19|Kirja 3431|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
20|Kirja 6051|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
21|Kirja 7177|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
22|Kirja 3837|0|0|2020|Asioita tapahtuu|28.3.2020|5|Jänniä juttuja
